               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.048029,            0.033794,             0.11752,            0.003092,             0.45862,           0.0043125,           0.0025075,            0.029281,            0.014856,            0.082741,            0.070018,           0.0033313,           0.0033313
                   1,            0.038015,            0.031424,             0.10953,           0.0031979,             0.48705,           0.0054757,           0.0031571,            0.029004,            0.015007,            0.077847,            0.039886,           0.0065327,           0.0065327
                   2,            0.038632,            0.031195,             0.10662,           0.0035807,             0.52725,            0.012011,           0.0064164,            0.029884,            0.014732,            0.072238,           0.0096225,            0.009602,            0.009602
                   3,            0.038149,            0.031169,             0.10264,           0.0041205,             0.58449,            0.020966,            0.011592,            0.030071,            0.014302,            0.068399,            0.009406,            0.009406,            0.009406
                   4,            0.037423,            0.030753,            0.098685,             0.58899,             0.04128,            0.034203,            0.018311,            0.028715,            0.014151,            0.064211,            0.009406,            0.009406,            0.009406
                   5,            0.036684,            0.030242,            0.095048,             0.65432,            0.059561,            0.053458,            0.028979,            0.028117,            0.014096,            0.061153,            0.009208,            0.009208,            0.009208
                   6,            0.036652,            0.030162,             0.09097,             0.51943,            0.076159,            0.073342,            0.040279,            0.027692,            0.014069,            0.058224,             0.00901,             0.00901,             0.00901
                   7,            0.036855,             0.03008,            0.088968,              0.3948,             0.10057,            0.076626,            0.041119,            0.028278,            0.014151,            0.057952,            0.008812,            0.008812,            0.008812
                   8,            0.036651,            0.030007,            0.088166,             0.32171,             0.12771,             0.10024,             0.05436,            0.027686,            0.013894,            0.055028,            0.008614,            0.008614,            0.008614
                   9,            0.036591,            0.029947,            0.085944,             0.29449,             0.16165,              0.1249,            0.067953,            0.027618,            0.014016,             0.05271,            0.008416,            0.008416,            0.008416
                  10,            0.036702,            0.029865,            0.084134,             0.27776,              0.1847,             0.14124,            0.076947,            0.027418,            0.013724,            0.050812,            0.008218,            0.008218,            0.008218
                  11,            0.036841,            0.029772,            0.081926,             0.27257,             0.20457,              0.1596,            0.087237,            0.027114,            0.013623,            0.048738,             0.00802,             0.00802,             0.00802
                  12,            0.036095,            0.029629,             0.08038,             0.28197,              0.2234,             0.17212,            0.093517,            0.027384,            0.013689,            0.046886,            0.007822,            0.007822,            0.007822
